nommuni,ice56_mean,ice93_mean,ice09_mean,ice15_mean
Abrera,8.24,5.8,4.91,4.06
Aiguafreda,8.02,6.83,6.91,3.71
Alella,7.58,3.89,3.8,3.22
AMB,6.11,4.04,3.67,3.01
Arenys de Mar,6.27,2.95,1.8,1.65
Arenys de Munt,7.69,6.31,5.11,3.51
Argentona,7.88,5.38,5.03,3.29
Avinyonet del Penedès,7.95,7.46,6.77,5.74
B30,7.19,4.43,3.97,3.15
Badalona,4.91,3.01,2.85,2.66
Badia del Vallès,8.27,1.27,1.51,1.19
Barbera del Vallès,6.26,1.71,1.8,1.66
Barcelona,2.66,1.7,1.8,1.5
Begues,8.52,7.51,7.36,5.63
Bigues i Riells,8.23,7.1,5.52,4.51
Cabrera de Mar,7.21,3.37,2.37,2.3
Cabrils,7.92,3.17,3.05,2.31
Caldes d'Estrac,3.53,2.31,1.12,1.1
Caldes de Montbui,7.95,6.47,5.82,4.58
Calella,6.95,4.93,4.37,2.89
Campins,7.87,6.7,6.52,5.12
Canet de Mar,6.48,5.49,3.41,2.38
Canovelles,6.49,3.53,2.76,2.64
Cànoves i Samalús,8.2,7.59,7.17,5.28
Canyelles,8.71,6.06,5.4,4.74
Cardedeu,6.84,4.94,4.05,3.48
Castellar del Valles,7.78,6.58,6.3,4.75
Castellbisbal,7.97,5.36,4.84,4.01
Castellcir,8.97,8.04,7.82,5.64
Castelldefels,6.2,2.36,2.08,1.88
Castellet i la Gornal,7.86,6.74,6.65,5.24
Castellterçol,8.16,7.57,7.54,5.64
Castellví de la Marca,7.25,7.21,6.73,5.16
Castellví de Rosanes,8.77,7.02,6.79,5
Cerdanyola del Vallès,7.4,4.12,4.11,3.25
Cervelló,8.46,6.33,5.93,4.47
Collbató,8.1,7.03,5.73,4.61
Corbera de Llobregat,8.28,4.66,4.53,3.89
Cornellà de Llobregat,3.25,1.57,1.31,1.29
Cubelles,8.41,5.62,4.06,3.27
Dosrius,7.94,6.55,6.42,3.72
el Masnou,3.97,1.19,1.14,1.07
el Pla del Penedès,6.55,6.64,6.04,4.69
Esparreguera,8.15,6.57,5.57,4.75
Esplugues de Llobregat,3.56,1.68,1.35,1.45
Figaró-Montmany,7.98,7.6,7.24,4.55
Fogars de Montclús,8.04,7.65,7.18,5.36
Font-rubí,7.65,7.48,7.21,5.89
Gallifa,8.38,7.42,7.54,5.48
Gavà,7.85,5.36,4.91,4.24
Gelida,7.91,7.46,6.29,5.01
Granera,8.09,7.48,8.07,6.14
Granollers,5.74,2.61,1.84,1.8
Gualba,7.83,7.38,6.82,4.58
l'Hospitalet de Llobregat,3.07,1.11,1.07,1.02
l'Ametlla del Vallès,7.43,5.27,3.46,3.16
la Garriga,7.21,6.1,5.47,3.78
la Granada,5.98,4.39,3.49,2.87
la Llagosta,7.08,2.23,2.75,1.92
la Roca del Vallès,7.92,5.86,4.86,3.65
les Cabanyes,4.67,3.92,3.21,2.77
les Franqueses del Vallès,7.71,5.88,5.07,4.13
Lliçà d'Amunt,7.89,5.94,4.27,3.59
Lliçà de Vall,7.58,4.13,2.9,2.67
Llinars del Vallès,7.9,6.15,5.13,3.61
Malgrat de Mar,6.61,4.38,2.26,2.29
Martorell,6.92,3.25,3.1,2.61
Martorelles,6.71,3.16,2.66,2.2
Matadepera,7.63,5.92,5.69,4.37
Mataró,6.21,3.82,2.85,2.4
Mediona,8.67,8.23,7.74,6.27
Molins de Rei,7.09,5.17,5.19,3.56
Mollet del Valles,6.11,2.96,3.03,2.45
Montcada i Reixac,6.49,4.11,3.94,3.5
Montgat,4.49,2.33,1.32,1.37
Montmeló,6.53,2.34,1.55,1.44
Montornès del Vallès,8.58,3.6,3.43,2.94
Montseny,7.97,7.94,7.53,5.24
Olèrdola,8.41,7.28,6.15,5.13
Olesa de Bonesvalls,8.63,8.25,7.78,6.3
Olesa de Montserrat,7.71,6.37,5.74,5.28
Olivella,9.16,7.68,7.37,5.98
Òrrius,7.85,5.2,6.14,3.98
Pacs del Penedès,7.12,5.24,4.2,3.79
Palafolls,7.58,4.94,3.9,3.31
Palau-solità i Plegamans,7.4,3.98,3.38,3.03
Pallejà,7.4,4.86,3.64,3.23
la Palma de Cervelló,7.46,5.2,5.1,3.78
el Papiol,6.75,4.3,3.97,3.26
Parets del Vallès,6.13,2.47,2.16,1.9
Pineda de Mar,6.71,4.67,3.74,2.85
Polinyà,7.97,4.67,3.98,3.7
Pontons,9.09,8.41,8.35,6
el Prat de Llobregat,3.87,2.77,1.53,1.74
Premià de Dalt,6.34,3.17,3,2.42
Premià de Mar,3.49,1.46,1.02,1
Puigdàlber,4.34,4.56,3.24,3.2
RMB,7.46,5.9,5.34,4.11
Rellinars,8.29,7.71,7.67,4.89
Ripollet,5.04,2.75,1.77,1.48
Rubi,8.1,4.55,3.48,3.17
Sabadell,5.7,3.66,3.01,2.55
Sant Adrià de Besòs,2.66,1.65,1.37,1.22
Sant Andreu de la Barca,5.9,2.64,2.56,2.1
Sant Andreu de Llavaneres,6.94,4.66,3.86,2.54
Sant Antoni de Vilamajor,7.98,6.16,4.3,4.12
Sant Boi de Llobregat,5.24,3.93,2.8,2.39
Sant Cebrià de Vallalta,8.08,6.88,5.8,3.65
Sant Celoni,7.69,6.88,6.5,3.84
Sant Climent de Llobregat,8.6,7.89,7.06,5.73
Sant Cugat del Vallès,7.1,3.46,3.72,2.74
Sant Cugat Sesgarrigues,6.83,5.36,5.13,4.61
Sant Esteve de Palautordera,8.11,7.18,5.86,4.84
Sant Esteve Sesrovires,8.19,4.52,3.24,2.7
Sant Feliu de Codines,7.38,6.48,5.91,4.72
Sant Feliu de Llobregat,7.28,4.86,4.27,2.57
Sant Fost de Campsentelles,8.16,5.38,5.65,5.03
Sant Iscle de Vallalta,8,7.14,6.39,3.6
Sant Joan Despí,4.69,2.73,1.65,1.73
Sant Just Desvern,6.16,4.17,3.84,2.6
Sant Llorenç d'Hortons,7.69,7.37,5.55,4.68
Sant Llorenç Savall,8.12,7.51,7.42,5.65
Sant Martí Sarroca,7.98,7.42,7.2,5.95
Sant Pere de Ribes,8.24,6.31,5.37,4.72
Sant Pere de Riudebitlles,7.33,6.73,5.3,4.3
Sant Pere de Vilamajor,8.24,7.68,6.78,5.22
Sant Pol de Mar,7.45,5.28,3.55,2.31
Sant Quintí de Mediona,8.36,7.81,7.47,6.52
Sant Quirze del Vallès,7.38,4.29,3.73,2.51
Sant Quirze Safaja,8.13,7.84,7.34,5.43
Sant Sadurní d'Anoia,6.77,5.69,5.08,3.97
Sant Vicenç de Montalt,7.02,4.17,3.16,2.31
Sant Vicenç dels Horts,6.42,4.71,2.39,2.34
Santa Coloma de Cervelló,6.63,6.76,3.7,3.68
Santa Coloma de Gramenet,4.36,2.41,2.8,2.52
Santa Eulàlia de Ronçana,7.93,6.53,4.24,3.87
Santa Fe del Penedès,6.44,5.82,5.13,3.89
Santa Margarida i els Monjos,7.61,6.98,5.69,5.03
Santa Maria de Martorelles,8.16,6.34,6.58,4.76
Santa Maria de Palautordera,7.87,6.51,5.07,4.03
Santa PerpÞtua de Mogoda,6.37,3.03,2.44,2.19
Santa Susanna,7.69,5.74,5.12,3.4
Sentmenat,8.11,7.2,6.2,4.92
Sitges,7.78,6.26,5.78,4.65
Subirats,7.79,7.41,6.27,5.38
Tagamanent,8.22,8.02,7.91,4.83
Teià,7.44,3.24,3.55,2.96
Terrassa,6.95,5.13,4.42,3.17
Tiana,6.58,5.44,3.83,3.8
Tordera,7.87,6.53,6.63,4.28
Torrelavit,7.46,7.2,6.83,5.04
Torrelles de Foix,8.6,7.62,7.63,5.97
Torrelles de Llobregat,8.22,8.06,5.72,4.73
Ullastrell,7.3,7.27,5.98,4.9
Vacarisses,8.49,6.92,6.38,4.65
Vallgorguina,7.61,6.69,5.97,3.87
Vallirana,8.38,5.97,5.21,4.04
Vallromanes,8.84,4.59,5.8,4.55
Viladecans,6.89,2.68,2.72,2.73
Viladecavalls,8.37,5.83,5.21,4.05
Vilafranca del Penedès,6.11,4.16,3,2.67
Vilalba Sasserra,7.67,6.95,6.66,4.05
Vilanova del Vallès,8.33,5.09,4.84,4.1
Vilanova i la Geltrú,7.58,5.19,4.21,3.42
Vilassar de Dalt,7.38,4.58,4.85,3.24
Vilassar de Mar,4.9,2.47,1.17,1.05
Vilobí del Penedès,5.99,5.82,4.84,3.74