categoria,poblacio_2000,poblacio_2005,poblacio_2010,poblacio_2015,poblacio_2020
Abrera,8177,9839,11469,12071,12538
Aiguafreda,2147,2308,2505,2465,2512
Alella,8413,8940,9557,9660,9904
Arenys de Mar,12610,13860,14688,15289,15941
Arenys de Munt,6242,7369,8335,8736,9121
Argentona,9482,10868,11718,11978,12536
Avinyonet del Penedès,1167,1529,1685,1652,1697
Badalona,208944,218553,218886,215654,223166
Badia del Vallès,15533,14230,13703,13502,13415
Barberà  del Vallès,26681,27827,31688,32545,33334
Barcelona,1496266,1593075,1619337,1604555,1664182
Begues,4189,5470,6348,6670,7300
Bigues i Riells,5436,7155,8664,8858,9358
Cànoves i Samalús,1870,2375,2809,2897,3156
Cabrera de Mar,3716,4119,4504,4522,4747
Cabrils,4693,6238,7108,7250,7432
Caldes de Montbui,12464,15536,17019,17098,17812
Caldes d'Estrac,1973,2508,2783,2717,3021
Calella,13055,16927,18625,18226,19277
Campins,292,354,413,491,541
Canet de Mar,10138,12429,13915,14177,14865
Canovelles,13016,14668,16076,15906,16829
Canyelles,1838,3127,4196,4375,4699
Cardedeu,12078,15018,16897,17938,18424
Castellar del Vallès,17444,20437,23129,23442,24488
Castellbisbal,7887,10842,12223,12364,12539
Castellcir,366,528,664,694,742
Castelldefels,45091,56718,62250,63891,67460
Castellet i la Gornal,1404,1798,2240,2212,2382
Castellterçol,2000,2195,2387,2368,2548
Castellví de la Marca,1445,1563,1635,1540,1575
Castellví de Rosanes,1096,1370,1755,1771,1933
Cerdanyola del Vallès,52778,57114,58407,57413,57855
Cervelló,6064,7350,8566,8851,9077
Collbató,2099,3337,4114,4389,4544
Corbera de Llobregat,9090,12025,14000,14240,14882
Cornellà  de Llobregat,80998,84131,87240,86376,89936
Cubelles,6497,10617,13995,14420,15770
Dosrius,2846,4093,5010,5215,5652
el Masnou,21076,21464,22536,22923,23831
el Papiol,3464,3686,3937,4071,4172
el Pla del Penedès,923,906,1103,1230,1275
el Prat de Llobregat,62956,63190,63434,63014,65385
Esparreguera,17060,20740,22042,21701,22302
Esplugues de Llobregat,45668,46550,46649,45626,47150
Figaró-Montmany,825,1020,1083,1094,1142
Fogars de Montclús,350,417,455,477,475
Font-rubí,1200,1382,1466,1348,1414
Gallifa,156,210,215,197,167
Gavà,39220,44210,46383,46405,47057
Gelida,4354,5650,6945,7253,7670
Granollers,52423,57796,59691,60101,62419
Gualba,783,988,1235,1414,1548
la Garriga,11547,13472,15069,15740,16668
la Granada,1329,1594,1963,2085,2208
la Llagosta,11933,13455,13713,13252,13587
la Palma de Cervelló,2607,2923,3035,2966,2992
la Roca del Vallès,7380,8946,10291,10504,10754
l'Ametlla del Vallès,5697,7319,8112,8303,8646
les Cabanyes,544,682,902,967,979
les Franqueses del Vallès,12300,15196,18114,19446,20364
l'Hospitalet de Llobregat,241782,252884,258642,252171,269382
Lliçà d'Amunt,9595,12439,14356,14742,15469
Lliçà de Vall,5070,5821,6365,6383,6497
Llinars del Vallès,6877,8166,9170,9570,10018
Malgrat de Mar,13686,16833,18596,18371,18772
Martorell,21314,25766,26815,27694,28772
Martorelles,4895,4903,4900,4756,4820
Matadepera,6924,7966,8606,8900,9496
Mataró,104659,116698,122905,124867,129661
Mediona,1446,1943,2363,2273,2369
Molins de Rei,19723,23069,24236,25155,25940
Mollet del Vallès,46204,51218,52459,51650,51600
Montcada i Reixac,27952,31725,33656,34377,36803
Montgat,8305,9112,10584,11501,12200
Montmeló,8437,8804,9001,8835,8831
Montornés del Vallès,12426,14190,15790,16172,16644
Montseny,,306,312,319,351
Olérdola,2232,2864,3533,3518,3768
Olesa de Bonesvalls,942,1383,1702,1715,1840
Olesa de Montserrat,17151,21114,23646,23536,24144
Olivella,1319,2179,3405,3569,3935
Òrrius,420,315,654,688,758
Pacs del Penedés,653,745,881,893,918
Palafolls,5235,7098,8773,9132,9613
Palau-solità i Plegamans,11089,12836,14190,14457,14892
Pallejà,7258,10192,11263,11298,11622
Parets del Vallés,14478,16202,17805,18901,19071
Pineda de Mar,20057,24702,25893,25968,27984
Polinyà,4657,6428,7798,8226,8504
Pontons,363,482,539,483,528
Premià de Dalt,8869,9768,10064,10392,10441
Premià de Mar,26130,27653,27802,27944,28531
Puigdàlber,,388,522,539,524
Rellinars,,605,727,748,809
Ripollet,29877,34735,37151,37445,39179
Rubí,58646,68102,73591,74536,78591
Sabadell,183727,196971,207338,207814,216520
Sant Adrià de Besós,32452,32940,34104,35814,37447
Sant Andreu de la Barca,20140,24863,26682,27340,27569
Sant Andreu de Llavaneres,7161,9180,10303,10493,11133
Sant Antoni de Vilamajor,3293,4627,5479,5789,6208
Sant Boi de Llobregat,79337,81181,82411,82195,84500
Sant Cebrià de Vallalta,1757,2575,3388,3326,3438
Sant Celoni,12734,15081,16905,17317,18136
Sant Climent de Llobregat,2950,3443,3819,4013,4160
Sant Cugat del Vallès,52654,70514,81745,87830,92977
Sant Cugat Sesgarrigues,731,871,973,978,1009
Sant Esteve de Palautordera,1461,1961,2500,2568,2864
Sant Esteve Sesrovires,5161,6310,7329,7613,7696
Sant Feliu de Codines,4290,5282,5836,5908,6363
Sant Feliu de Llobregat,38435,42267,43112,43800,45467
Sant Fost de Campsentelles,6312,7265,8292,8603,8853
Sant Iscle de Vallalta,839,1095,1280,1308,1342
Sant Joan Despí,27627,31162,32338,33264,34267
Sant Just Desvern,14030,15282,15923,16631,18670
Sant Llorenç d'Hortons,1547,2022,2416,2557,2428
Sant Llorenç Savall,1983,2229,2402,2380,2417
Sant Martí Sarroca,2478,2721,3161,3092,3261
Sant Pere de Ribes,21976,26108,28399,29666,31111
Sant Pere de Riudebitlles,2076,2176,2381,2374,2380
Sant Pere de Vilamajor,2547,3444,4147,4281,4544
Sant Pol de Mar,3594,4597,5076,5012,5428
Sant Quintí de Mediona,1679,1998,2188,2116,2317
Sant Quirze del Vallès,12706,16581,18702,19602,20195
Sant Quirze Safaja,369,543,640,622,631
Sant Sadurní d'Anoia,9539,11359,12323,12689,12841
Sant Vicenç de Montalt,3334,4771,5776,6049,6452
Sant Vicenç dels Horts,24438,26676,28024,27983,28268
Santa Coloma de Cervelló,4691,6964,7845,8022,8268
Santa Coloma de Gramenet,117127,118129,120060,116950,120443
Santa Eulàlia de Ronçana,4536,5814,6829,7080,7426
Santa Fe del Penedès,293,338,384,378,367
Santa Margarida i els Monjos,4661,5933,6933,7332,7676
Santa Maria de Martorelles,700,763,839,853,890
Santa Maria de Palautordera,6306,7762,9040,9103,9630
Santa Perpétua de Mogoda,19084,21409,25191,25466,25999
Santa Susanna,1908,2868,3308,3275,3548
Sentmenat,5675,6988,8112,8652,9235
Sitges,19448,24470,28130,28269,29553
Subirats,2529,2820,3076,2988,3104
Tagamanent,,265,306,319,318
Teià,5280,5835,6081,6238,6427
Terrassa,171794,194947,212724,215214,223627
Tiana,5663,7079,7774,8411,8945
Tordera,9798,12597,15641,16433,17519
Torrelavit,1172,1209,1383,1401,1422
Torrelles de Foix,1684,2175,2545,2246,2398
Torrelles de Llobregat,3574,4604,5526,5883,6073
Ullastrell,1114,1450,1892,2043,2089
Vacarisses,2687,4592,6017,6143,6832
Vallgorguina,1325,1881,2591,2749,2988
Vallirana,9004,12339,14200,14633,15312
Vallromanes,1374,1911,2367,2543,2558
Viladecans,56112,61043,64077,65549,67197
Viladecavalls,5755,6890,7323,7365,7545
Vilafranca del Penedès,30024,35864,38218,39224,40154
Vilalba Sasserra,454,564,689,709,753
Vilanova del Vallès,2314,3282,4797,5241,5503
Vilanova i la Geltrú,52389,61427,66532,65684,67733
Vilassar de Dalt,7484,8011,8746,8964,9072
Vilassar de Mar,17000,18900,19574,20447,21035
Vilobí del Penedès,,1013,1129,1085,1102
AMB,2921563,3135758,3225058,3213775,3339279
B30,832997,942863,1018166,1033025,1069881
RMB,4326307,4770101,5012882,5028178,5226305
